"Source:","C:\Users\Roberto Angel Lora\Desktop\Diseño Mecatronico\Proyecto KICAD\RoomLink\RoomLink.kicad_sch"
"Date:","8/11/2023 7:31:40 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","105"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4, C10, C12","6","0.1uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"C5","1","0.33uF/25V","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"C6","1","2.2uF/25V","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"C7","1","47uF/10V","C_Polarized","Capacitor_SMD:C_0805_2012Metric","Polarized capacitor","",""
"C8","1","1uF/25V","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"C9","1","0.1uF/50V","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"C11","1","22uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"D1, D2, D3, D4, D11, D12, D13, D14, D15, D20","10","LED","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","",""
"D5, D6","2","1SMA5918BT3G","1SMA5918BT3G","Diode_SMD:D_0805_2012Metric","","",""
"D7, D8, D10, D21","4","LED","LED","Diode_SMD:D_0805_2012Metric","Light emitting diode","",""
"D16, D18","2","SMBJ12CA","SMBJ12CA","SMBJ12CA:DIOM4336X265N","","",""
"D17, D19","2","SM712-02HTG","SM712-02HTG","SM712-02HTG:SM71202HTG","31V, 19V Clamp 19A (8/20s) Ipp Tvs Diode Surface Mount SOT-23-3","",""
"F1, F2","2","PTS120660V010","PTS120660V010","Fuse:Fuse_1206_3216Metric","","",""
"F3","1","Fuse","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","Fuse","",""
"F4, F5","2","PTS120660V010","PTS120660V010","Huellas:RESC3115X65N","PTS120660V010","",""
"J1, J2, J3","3","TBP04R12-500-02BE","TBP04R12-500-02BE","CUI_TBP04R12-500-02BE","","",""
"J4","1","TBP04R12-500-03GR","TBP04R12-500-03GR","CUI_TBP04R12-500-03GR","","",""
"J5, J6","2","TBP04R12-500-08GR","TBP04R12-500-08GR","CUI_TBP04R12-500-08GR","","",""
"J7","1","~","HEADER6-POL","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","","",""
"K1, K2, K3, K4, K5","5","~","AZ921","Huellas:AZ921","AZ921","",""
"PS1","1","HLK-PM12","HLK-PM12","Converter_ACDC:Converter_ACDC_HiLink_HLK-PMxx","Compact AC/DC board mount power module 3W 12V","",""
"R1, R7, R11, R15","4","10K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R2, R8, R12, R16, R47","5","470","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R3, R5, R9, R13","4","330","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R4, R6, R10, R14","4","10","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R17, R18","2","R","R","Diode_SMD:D_0805_2012Metric","Resistor","",""
"R20","1","470","R","Diode_SMD:D_0805_2012Metric","Resistor","",""
"R21, R22, R23, R24, R25","5","R","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R26, R27, R28","3","10/1%","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R29, R30, R31, R32, R33","5","2.2K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R34, R35, R48, R49, R50","5","100K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R36","1","22K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R51","1","1K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"TP1, TP2, TP3","3","TestPoint","TestPoint","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","test point","",""
"TVS1","1","~","P10V275","Varistor:RV_Disc_D21.5mm_W7.5mm_P10mm","","",""
"U1, U2, U3, U4","4","FODM214","FODM214","Package_SO:SOP-4_4.4x2.6mm_P1.27mm","AC/DC Optocoupler, Vce 80V, CTR 20-400%, SOP-4","",""
"U5","1","NJM2885DL1-33-TE1","NJM2885DL1-33-TE1","3.3:DPAK228P968X238-4N","","",""
"U6","1","~","ESP32-JTAG","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","","",""
"U7","1","SP485ECN-L","SP485ECN-L","SOIC127P600X175-8N","","",""
"U8","1","TD521D485H-E","TD521D485H-E","Huellas:TD521D485H-E","TD521D485H-E","",""
"U9","1","ULN2003A","ULN2003A","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","High Voltage, High Current Darlington Transistor Arrays, SOIC16/SOIC16W/DIP16/TSSOP16","",""
"U10","1","ESP32-WROOM-32","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF Module, ESP32-D0WDQ6 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD","",""
"U11","1","B0303S","B0505S-W2R2","Huellas:B0505S-W2R2","","",""
